Participant,Condition,Accuracy,key_resp.rt,,,Accuracy(instrumental),Accuracy(Silence),Accuracy(lyrical),,,Rt (instru),Rt(lyrical),Rt(silence),,,,
P1,instrumental ,1,0.852737,,,1,0,0,,,0.852737,1.7456195,5.5060826,,,,
P1,instrumental ,1,0.894944,,,1,0,0,,,0.894944,1.5131622,4.4562393,,,,
P1,instrumental ,1,0.7263808,,,0,1,0,,,0.7263808,0.8847846,0.701371,,,,
P1,instrumental ,1,2.2873963,,,0,1,0,,,2.2873963,2.8395033,0.9423403,,,,
P1,instrumental ,0,1.9044897,,,1,1,0,,,1.9044897,0.9388487,0.933738,,,,
P1,instrumental ,1,0.7172932,,,1,1,0,,,0.7172932,1.3542233,1.061714,,,,
P1,instrumental ,1,0.756415,,,1,1,0,,,0.756415,3.3787281,1.5890424,,,Accuracy% (Instru)) ,30.66666667
P1,instrumental ,1,1.7568141,,,1,1,0,,,1.7568141,3.3086238,0.4904018,,,Accuracy% (Silence) ,30
P1,instrumental ,1,0.8219059,,,1,1,0,,,0.8219059,0.849322,0.7470018,,,Accuracy% (lyrical) ,27.33333333
P2,instrumental ,0,1.0225827,,,0,0,1,,,1.0225827,1.0750109,0.920985,,,,
P2,instrumental ,1,6.5818635,,,1,0,1,,,6.5818635,1.024018,1.0180812,,,,
P2,instrumental ,1,1.2987797,,,1,0,1,,,1.2987797,2.1265419,0.7675944,,,,
P2,instrumental ,0,0.8788256,,,0,1,1,,,0.8788256,1.6785695,0.7790982,,,,
P2,instrumental ,1,0.7236584,,,1,1,1,,,0.7236584,1.0161567,0.7107938,,,,
P2,instrumental ,1,0.9784988,,,1,1,1,,,0.9784988,1.4758671,0.9919816,,,,
P2,instrumental ,1,2.4592382,,,1,1,1,,,2.4592382,0.6404813,1.1682814,,,,
P2,instrumental ,1,2.70444,,,1,1,1,,,2.70444,1.7550484,3.4504867,,,,
P2,instrumental ,1,1.8507969,,,1,1,1,,,1.8507969,2.0015455,1.5953733,,,,
P3,instrumental ,1,0.7049356,,,1,1,1,,,0.7049356,3.5683979,5.444632,,,,
P3,instrumental ,1,0.6286511,,,1,1,1,,,0.6286511,0.7844184,1.3682366,,,,
P3,instrumental ,1,2.0834567,,,1,1,1,,,2.0834567,0.936791,0.6867178,,,,
P3,instrumental ,1,1.2585718,,,1,1,1,,,1.2585718,0.7545864,0.8577837,,,,
P3,instrumental ,1,1.9762068,,,1,1,1,,,1.9762068,1.7525854,0.8074516,,,,
P3,instrumental ,1,0.5745883,,,1,1,1,,,0.5745883,0.5880134,1.0465223,,,,
P3,instrumental ,1,0.780678,,,1,1,1,,,0.780678,23.085327,2.9699231,,,,
P3,instrumental ,1,0.7958144,,,1,1,1,,,0.7958144,1.0910092,0.6824688,,,,
P3,instrumental ,1,1.1018435,,,1,1,1,,,1.1018435,2.8607929,0.6264812,,,,
P4,instrumental ,1,0.8386608,,,1,1,1,,,0.8386608,0.6283848,0.641684,,,,
P4,instrumental ,1,0.9896731,,,1,1,1,,,0.9896731,1.160156,1.0168994,,,,
P4,instrumental ,1,0.7121377,,,1,1,1,,,0.7121377,0.729826,0.8838875,,,,
P4,instrumental ,1,1.3519668,,,1,1,1,,,1.3519668,1.1130735,1.1034696,,,,
P4,instrumental ,1,0.7021098,,,1,1,1,,,0.7021098,2.8883215,1.4657951,,,,
P4,instrumental ,1,2.0188934,,,1,1,1,,,2.0188934,3.6594258,0.9222573,,,,
P4,instrumental ,1,2.6920205,,,1,1,1,,,2.6920205,0.6366934,0.8239287,,,,
P4,instrumental ,1,0.9377397,,,1,1,1,,,0.9377397,0.8637912,1.6128583,,,,
P5,instrumental ,1,1.6393048,,,1,1,1,,,1.6393048,1.59841,0.7521954,,,,
P5,instrumental ,1,2.8747499,,,1,1,1,,,2.8747499,0.9324364,1.0477067,,,,
P5,instrumental ,1,0.6874586,,,1,1,1,,,0.6874586,1.0373117,0.8912203,,,,
P5,instrumental ,1,0.8259119,,,1,1,1,,,0.8259119,0.6896958,0.7707582,,,,
P5,instrumental ,1,1.3004378,,,1,1,1,,,1.3004378,0.7746501,1.8482163,,,,
P5,instrumental ,1,0.978866,,,1,1,1,,,0.978866,1.651683,1.3815142,,,,
P4,instrumental ,1,0.815049,,,1,1,1,,,0.815049,1.7009585,0.8712194,,,,
P5,instrumental ,1,1.3723501,,,1,1,1,,,1.3723501,1.6499693,3.8453845,,,,
P5,instrumental ,1,2.0681817,,,1,1,1,,,2.0681817,1.1711803,1.2136985,,,,
P5,instrumental ,1,1.734647,,,1,1,1,,,1.734647,0.6314386,0.7969585,,,,
P1,instrumental ,0,1.8242982,,,1,1,1,,,1.8242982,0.6353627,6.041277,,,,
P2,instrumental ,1,0.8424174,,,1,1,1,,,0.8424174,0.7658783,0.9008706,,,,
P3,instrumental ,1,1.2693182,,,1,1,1,,,1.2693182,0.9872267,0.724201,,,,
P4,instrumental ,1,1.174826,,,1,1,1,,,1.174826,1.6779032,0.8191841,,,,
P5,instrumental ,1,1.885176,,,1,1,1,,,1.885176,0.7554359,1.8277777,,,,
P1,lyrical,0,1.7456195,,,,,,,,,,,,,,
P1,lyrical,1,1.5131622,,,,,,,,,,,,,,
P1,lyrical,1,0.8847846,,,,,,,,,,,,,,
P1,lyrical,1,2.8395033,,,,,,,,,,,,,,
P1,lyrical,1,0.9388487,,,,,,,,,,,,,,
P1,lyrical,1,1.3542233,,,,,,,,,,,,,,
P1,lyrical,1,3.3787281,,,,,,,,,,,,,,
P1,lyrical,1,3.3086238,,,,,,,,,,,,,,
P1,lyrical,1,0.849322,,,,,,,,,,,,,,
P1,lyrical,0,1.0750109,,,,,,,,,,,,,,
P2,lyrical,1,1.024018,,,,,,,,,,,,,,
P2,lyrical,1,2.1265419,,,,,,,,,,,,,,
P2,lyrical,0,1.6785695,,,,,,,,,,,,,,
P2,lyrical,0,1.0161567,,,,,,,,,,,,,,
P2,lyrical,1,1.4758671,,,,,,,,,,,,,,
P2,lyrical,1,0.6404813,,,,,,,,,,,,,,
P2,lyrical,1,1.7550484,,,,,,,,,,,,,,
P2,lyrical,1,2.0015455,,,,,,,,,,,,,,
P2,lyrical,1,3.5683979,,,,,,,,,,,,,,
P2,lyrical,0,0.7844184,,,,,,,,,,,,,,
P3,lyrical,1,0.936791,,,,,,,,,,,,,,
P3,lyrical,1,0.7545864,,,,,,,,,,,,,,
P3,lyrical,0,1.7525854,,,,,,,,,,,,,,
P3,lyrical,1,0.5880134,,,,,,,,,,,,,,
P3,lyrical,1,23.085327,,,,,,,,,,,,,,
P3,lyrical,1,1.0910092,,,,,,,,,,,,,,
P3,lyrical,1,2.8607929,,,,,,,,,,,,,,
P3,lyrical,1,0.6283848,,,,,,,,,,,,,,
P3,lyrical,1,1.160156,,,,,,,,,,,,,,
P3,lyrical,1,0.729826,,,,,,,,,,,,,,
P4,lyrical,1,1.1130735,,,,,,,,,,,,,,
P4,lyrical,1,2.8883215,,,,,,,,,,,,,,
P4,lyrical,1,3.6594258,,,,,,,,,,,,,,
P4,lyrical,1,0.6366934,,,,,,,,,,,,,,
P4,lyrical,1,0.8637912,,,,,,,,,,,,,,
P4,lyrical,1,1.59841,,,,,,,,,,,,,,
P4,lyrical,1,0.9324364,,,,,,,,,,,,,,
P4,lyrical,1,1.0373117,,,,,,,,,,,,,,
P4,lyrical,1,0.6896958,,,,,,,,,,,,,,
P4,lyrical,0,0.7746501,,,,,,,,,,,,,,
P5,lyrical,1,1.651683,,,,,,,,,,,,,,
P5,lyrical,1,1.7009585,,,,,,,,,,,,,,
P5,lyrical,0,1.6499693,,,,,,,,,,,,,,
P5,lyrical,0,1.1711803,,,,,,,,,,,,,,
P5,lyrical,1,0.6314386,,,,,,,,,,,,,,
P5,lyrical,1,0.6353627,,,,,,,,,,,,,,
P5,lyrical,1,0.7658783,,,,,,,,,,,,,,
P5,lyrical,1,0.9872267,,,,,,,,,,,,,,
P5,lyrical,1,1.6779032,,,,,,,,,,,,,,
P5,lyrical,1,0.7554359,,,,,,,,,,,,,,
